id,epic,title,item_type,status,priority,sort_order,rationale,technical_risk,user_value,dependencies,affected_areas,source_agent,source_context
J196-001,canonical-f1-handling,Correct Jordan 196 visual orientation (currently faces backwards),bugfix,proposed,120,0,The Jordan 196 is visibly facing backwards and cannot be evaluated coherently.,Medium. Diagnose visual and physical forward axes separately; do not invert physics or controls.,Restores a visually and mechanically coherent Jordan 196.,,game/scenes/vehicles/f1_1996_car.tscn;game/assets/models/vehicles/f1_1996/;game/tests/,product-owner,Promoted to top backlog priority by explicit user request on 2026-08-13 before the Jordan 197 commit/push handoff.
HAN-001,canonical-f1-handling,Establish one canonical Jordan 191 handling scene and Monaco GP2-style acceptance matrix,feature,done,100,10,"The repository currently has multiple vehicle baselines: test_field.tscn still instantiates f1_1996_car.tscn, while jordan_191.tscn is the intended 1990s single-seater baseline, and the previous backlog referenced non-existent jordan_1995/jordan_handling_test paths. Before tuning, select one canonical vehicle and one repeatable handling scene.",Low-medium. This is mostly scene/source-of-truth cleanup and test definition. Avoid changing physics parameters until the canonical route is bootable and repeatable.,Creates a single authoritative car and test loop so every subsequent handling change is comparable and intentional.,,game/scenes/vehicles/jordan_191/jordan_191.tscn;game/scenes/tracks/test_field/test_field.tscn;PROJECT_STATE.md,product-owner,"Backlog pruned for Canonical F1 Handling v1, 2026-08-11."
REF-002,canonical-f1-handling,Decouple hardcoded VehicleRigidBody paths (VehiclePathResolver),architecture,done,98,5,Evitar editar 4+ archivos por promocion,Medium,Permite promocionar Jordan197 sin workarounds,,game/addons/formula90s/scripts/vehicle_path_resolver.gd;game/scenes/runtime/world_hud_compositor.gd;scripts/run_jordan_handling.ps1,opencode,Antipatron hardcodeo 2026-08-13
J197-001,canonical-f1-handling,Promote Jordan197_LOD0_Historical to canonical jordan_197 (3-GLB split),feature,done,97,15,Jordan_197 sustituye a 191,High,Vehiculo canonico fiel,REF-002,assets-lowpoly-python/vehicles/canonical/Jordan197_LOD0_Historical.glb;game/scenes/vehicles/jordan_197/,opencode,Usuario 2026-08-13
PHY-003,canonical-f1-handling,"Normalize the canonical 1990s F1 physical envelope (mass, CG, track and wheel geometry)",feature,done,95,20,"Steering, suspension, load transfer and tire tuning are unreliable if the basic physical envelope is not formula-like. Merge the old tire-width, track-width and tire-radius tasks into one sanity pass. Use plausible 1990s F1 values and the actual Jordan 191 model dimensions as constraints; do not pursue millimeter-perfect historical homologation.","Medium. These values affect grip, Ackermann, gearing and weight transfer simultaneously. Change the minimum coherent set once, then freeze it before behavioral tuning.",Removes GT-like geometric assumptions before handling tuning without turning the task into a historical reconstruction project.,HAN-001,game/scenes/vehicles/jordan_191/jordan_191.tscn;game/addons/gevp/scripts/vehicle.gd;game/addons/gevp/scripts/wheel.gd,product-owner,"Merged PHY-003/PHY-004/PHY-005 for Canonical F1 Handling v1, 2026-08-11."
PHY-014,canonical-f1-handling,Define the canonical assist policy and remove undocumented stabilization from handling tests,feature,done,93,30,"The canonical handling baseline must not be tuned against unknown hidden stabilization. Monaco GP2-style handling may use mild intentional steering/countersteer assistance, but every assist that affects yaw, wheelspin or braking must be explicit and reproducible. Establish the exact baseline assist state before tuning.",Medium. Removing or changing assists can expose underlying instability; do not compensate by retuning multiple subsystems at once.,"Makes the car's behavior intentional: approachable arcade-sim assistance is allowed, but hidden physics compensation is not.",HAN-001,game/scenes/vehicles/jordan_191/jordan_191.tscn;game/addons/formula90s/scripts/driving_aids.gd;game/addons/gevp/scripts/vehicle.gd,product-owner,"Reframed from precise OFF semantics into a short-term canonical baseline requirement, 2026-08-11."
PHY-010,canonical-f1-handling,Reproduce and fix automatic-transmission top-out or incomplete shift progression,bugfix,done,92,40,"A canonical car cannot be evaluated if automatic shifting fails to reach the full gearbox. Reproduce the reported second-gear top-out using the canonical scene and current ratios. If confirmed, fix only the shift-condition defect; do not redesign the transmission.","Low-medium. The change can alter engine/gear interaction, so verify all forward gears and downshifts after the minimal fix.",Ensures the car can complete full-speed handling tests and later race sessions without a basic drivetrain blocker.,HAN-001,game/addons/gevp/scripts/vehicle.gd;game/scenes/vehicles/jordan_191/jordan_191.tscn,product-owner,"Promoted as a blocking reproducibility/fix task for Canonical F1 Handling v1, 2026-08-11."
PHY-006,canonical-f1-handling,"Tune canonical F1 steering, yaw response and countersteer progression",feature,done,90,50,"The current car is described as halfway between a GT3 and excessive oversteer. Target a late-1990s arcade-sim formula feel: quick but progressive turn-in, low rotational inertia, mild entry understeer when overdriven, progressive throttle/lift-off rotation, and recoverable oversteer when countersteer is applied early.","High. Steering assist, tire response and yaw damping are coupled. Tune one behavior family at a time against the acceptance matrix.",This is the core 'it feels like an F1 car' milestone and the highest-value handling change.,PHY-003;PHY-014,game/scenes/vehicles/jordan_191/jordan_191.tscn;game/addons/gevp/scripts/vehicle.gd,product-owner,"Retargeted from exact 1995 steering to Monaco GP2-style canonical F1 feel, 2026-08-11."
PHY-007,canonical-f1-handling,"Tune canonical F1 suspension, transient weight transfer and curb stability",feature,done,85,60,"Remove the GT3-like sense of mass and long body settling. The car should react sharply, roll little, settle quickly after braking or direction changes, remain stable under straight braking, and tolerate normal curbs without random launches or persistent bottom-out. Historical damper values are not required.","High. Suspension changes can mask tire, geometry or track-collision problems. Use the existing diagnostic guardrails only when a concrete symptom appears.","Creates the short, stiff, responsive chassis behavior expected from a single-seater instead of a heavy GT car.",PHY-006,game/scenes/vehicles/jordan_191/jordan_191.tscn;game/addons/gevp/scripts/wheel.gd;game/addons/gevp/scenes/track.tscn,product-owner,"Retargeted from exact 1995 suspension values to behavior-first canonical handling, 2026-08-11."
PHY-012,canonical-f1-handling,Add a simple speed-squared aero balance with a clear low-speed/high-speed handling transition,feature,proposed,82,70,"A formula car should not feel like a lightweight GT at every speed. Add the minimum tunable V^2 downforce model needed so low-speed behavior is primarily mechanical and lively while medium/high-speed corners become distinctly more planted. Keep front/rear balance and drag simple; no CFD, ground-effect simulation or historical aero map.",High. Aero can hide bad mechanical balance. Implement only after steering and suspension are acceptable at low/medium speed.,Provides one of the strongest perceptual cues that the vehicle is an F1-style single-seater.,PHY-007,game/addons/formula90s/;game/scenes/vehicles/jordan_191/jordan_191.tscn,product-owner,"Simplified from historical Phase F aero into the minimum model needed for Canonical F1 Handling v1, 2026-08-11."
