filename,directory,function
svg_profile.py,blender/track_pipeline,local_name; tag_namespace; sha256_bytes; sha256_file; is_data_attribute
svg_sanitizer.py,blender/track_pipeline,SVGSanitizeError(__init__); _element_id; sanitize_svg; _assign_instance_ids; _collect_data_attributes; _reject_attributes; _walk; _check_path_syntax; _check_command_params; _check_points_syntax; _check_numeric_values; _unparseable_number; _tokenize_path; canonical_xml
svg_normalizer.py,blender/track_pipeline,NormalizeError(); _tokenize_path; _validate_path_arity; _check_params; _flatten_cubic; flatten_path; _polyline_length; resample_closed; _proper_segment_intersect; _point_on_segment; closed_polyline_self_intersects; _children; _role; _first; _floats; _collect_regions; _collect_vegetation_regions; normalize; normalized_json_bytes
asset_registry.py,blender/track_pipeline,"AssetSpec(); AssetRegistry(__init__, lookup, ids, by_kind, by_category, __contains__); parse_registry; load_registry; _sha256_file; validate_registry; validate_registry_file"
compile_svg_track.py,blender/track_pipeline,CompileError(__init__); _compiler_sha256; compile_track; _resolve_assets; main
validate_asset_registry.py,blender/track_pipeline,main
svg_track_validate.py,blender/track_pipeline,main
build_asset_registry.py,blender/track_pipeline,sha256_file; budget_for; main
build_normalized_common.py,blender/track_pipeline,BuildManifestError(); compiler_sha256; build_sha256; glb_node_names; validate_runtime_split
build_normalized_track_blender.py,blender/track_pipeline,args_after_double_dash; read_json; _sha256_file; coerce_track_config; _is_collision_proxy; build_barrier; _load_glb_template; _instance_glb; import_glb_asset; build_procedural_card; _is_glb_source; import_asset; export_runtime_part; build_manifest; main
build_svg_track.py,blender/track_pipeline,GatewayError(); sha256_file; load_state; save_state; plan_build; check_existing_build; validate_build_dir; activate_pair; _reject; _tail; _rmtree; gateway_main
validate_godot_load.py,blender/track_pipeline,GodotNotFoundError(); _search_godot_dir; find_godot_exe; resolve_godot_exe; build_validation_command; run_godot_load_validation; main
import_la_chutana.py,blender/track_pipeline,_points_attr; _boundary_element; ImportFailure(); _num; _centerline_d; _banking_controls; _terrain_zone; _barrier_elements; _data_kind; _object_instances; _region_groups; _loose_vegetation_instances; render_source_svg; _derive_vegetation_regions; _category_counts; _compiled_asset_counts; _normalized_asset_counts; verify_parity; _collision_flags; _load_json; main
bootstrap_la_chutana_track.py,blender/track_pipeline,_load_json; main
vegetation_regions.py,blender/track_pipeline,Region(); _stable_float; _hash_choice; _simplify_pixels; derive_regions; assign_instances_to_regions; _point_in_polygon; assign_instances_to_regions; translate_boundary; scale_boundary; _jitter_grid_points; sample_new_placements; region_group_element; find_regions; region_instance_ids
vegetation_region_ops.py,blender/track_pipeline,RegionOperationError(); _local; _find_region; _boundary_of; _set_boundary; _region_members; move_region; scale_region; extend_region; apply_region_operation
terrain_grid.py,blender/track_pipeline,"NearestTrackSample(); SegmentSpatialIndex(build, candidates); _smoothstep01; bank_degrees_at_fraction; effective_far_ground_z; nearest_track_sample; elevation_at_fraction; road_surface_height; terrain_height_from_sample; build_heightfield; _blender_normal_z; validate_heightfield"
blender_output.py,blender/track_pipeline,_timestamp; backup_existing; atomic_save_blend; atomic_export_glb; atomic_publish
semantic_layout_common.py,blender/track_pipeline,"marker_rgb; sha256_file; WorldRasterTransform(from_metadata, metres_per_pixel, pixel_to_world, world_to_pixel); nearest_centerline; extract_markers; _nearest_world_point; _barrier_frame; _stable_float; _sample_zone_pixels; _asset_repo_path; _nearest_barrier_distance; load_asset_dimensions; compile_layout"
authoring_store.py,blender/track_pipeline/authoring,"RevisionError(); _revision_sha; tip_revision_sha; tip_revision_canonical_path; TrackSession(__init__, _load, save, revert, _save, undo_step)"
git_service.py,blender/track_pipeline/authoring,"GitServiceError(); GitAuthor(); GitScopedService(__init__, _run, is_repository, commit_scoped, head_sha)"
server.py,blender/track_pipeline/authoring,"resolve_source; assets_payload; AuthoringHandler(_json, _body, _read_body_json, _serve_static, do_GET, do_POST); main"
__init__.py,blender/track_pipeline/authoring,
editor.js,blender/track_pipeline/authoring/static,getTrack; getAssets; save; undo; redo; region; validate; importSvg; createApp; computed; set; load; select; clearSelection; selIs; selectControl; placeFromPalette; placeAt; if; addControl; delSelectedControl; applyControl; applyTerrainPoint; addTerrainPoint; delTerrainPoint; applyCenterlinePoint; addCenterlinePoint; delCenterlinePoint; writeRoad; commitSelection; commit; afterState; doImport; useImport; duplicateAsset; deleteAsset; populateModel; populateRegions; regionsByCategory; selectRegion
index.html,blender/track_pipeline/authoring/static,markup/stylesheet (see file)
editor.css,blender/track_pipeline/authoring/static,markup/stylesheet (see file)
validate_generated_track.gd,game/tools,_init; _parse_args; _validate; _load_scene; _report_environment; _check_collision_node; _check_visual_node; _report_vegetation; _all_nodes; _find_node; _is_collidable; _is_mesh; _count_meshes; _print_usage
run_authoring_server.ps1,scripts,
run-circuit-editor.ps1,scripts,Invoke-Step
